small with extra output
&& ./size_2000/random_tree_3_2000 16832.205450 165746
&& ./size_30000/random_tree_9_30000 9142.624051 1362492
&& ./size_30000/random_tree_6_30000 17140.096650 3275893
&& ./size_30000/random_tree_5_30000 16949.610386 3177887
&& ./size_30000/random_tree_7_30000 9032.298842 1496409
&& ./size_30000/random_tree_8_30000 12416.026598 1295349
&& ./size_30000/random_tree_8_30000 12416.026598 1294069
homogeneous average average
&& tree_15 2245.123210 55
&& ./size_20000/random_tree_1_20000 6245.374770 626573
&& ./size_20000/random_tree_11_20000 11959.192604 566790
&& ./size_20000/random_tree_0_20000 10908.672630 618414
&& ./size_20000/random_tree_2_20000 7129.249843 943581
&& ./size_20000/random_tree_3_20000 5762.283451 669503
&& ./size_20000/random_tree_4_20000 6517.452558 780484
&& ./size_4000/random_tree_8_4000 3676.017258 171652
&& ./size_4000/random_tree_7_4000 5130.517753 129642
&& ./size_4000/random_tree_6_4000 5227.099594 272049
&& ./size_4000/random_tree_5_4000 5761.062211 96175
&& ./size_10000/random_tree_9_10000 8501.584463 1356057
&& ./size_10000/random_tree_10_10000 9570.126127 473089
&& ./size_50000/random_tree_13_50000 12726.126983 3652628
&& ./size_50000/random_tree_11_50000 12653.275950 4288883
&& ./size_50000/random_tree_14_50000 9543.483001 3837234
&& ./size_50000/random_tree_10_50000 8157.124107 4974524
&& ./size_50000/random_tree_12_50000 10460.533260 4112906
&& ./size_2000/random_tree_4_2000 4552.592169 56837
&& ./size_2000/random_tree_1_2000 2562.512447 13528
&& ./size_2000/random_tree_2_2000 2162.036456 42019
&& ./size_2000/random_tree_3_2000 5184.156397 80652
&& ./size_30000/random_tree_9_30000 10502.256506 1379923
&& ./size_30000/random_tree_6_30000 9193.081795 1860177
&& ./size_30000/random_tree_5_30000 7834.594855 1880838
&& ./size_30000/random_tree_7_30000 10068.670173 1734237
&& ./size_30000/random_tree_8_30000 13074.634790 1330889
&& ./size_30000/random_tree_8_30000 13074.634790 1332194
homogeneous few big
&& tree_15 2245.123210 53
&& ./size_20000/random_tree_1_20000 7086.865989 700068
&& ./size_20000/random_tree_11_20000 12645.414276 926635
&& ./size_20000/random_tree_0_20000 11523.331908 896376
&& ./size_20000/random_tree_2_20000 8364.020031 1090212
&& ./size_20000/random_tree_3_20000 6640.921173 1150650
&& ./size_20000/random_tree_4_20000 7490.758257 718159
&& ./size_4000/random_tree_8_4000 3676.017258 171381
&& ./size_4000/random_tree_7_4000 5130.517753 128919
&& ./size_4000/random_tree_6_4000 5227.099594 271444
&& ./size_4000/random_tree_5_4000 5761.062211 95848
&& ./size_10000/random_tree_9_10000 8501.584463 1356472
&& ./size_10000/random_tree_10_10000 9570.126127 472629
&& ./size_50000/random_tree_13_50000 16089.974061 4986613
&& ./size_50000/random_tree_11_50000 14615.812256 4383525
&& ./size_50000/random_tree_14_50000 12497.660278 5086501
&& ./size_50000/random_tree_10_50000 10216.114886 4939312
&& ./size_50000/random_tree_12_50000 13878.378574 4652663
&& ./size_2000/random_tree_4_2000 4552.592169 56887
&& ./size_2000/random_tree_1_2000 2562.512447 13572
&& ./size_2000/random_tree_2_2000 2162.036456 42075
&& ./size_2000/random_tree_3_2000 5184.156397 80803
&& ./size_30000/random_tree_9_30000 12852.152409 1359634
&& ./size_30000/random_tree_6_30000 10119.994209 1884113
&& ./size_30000/random_tree_5_30000 8747.314865 4853358
&& ./size_30000/random_tree_7_30000 11633.225909 1720387
&& ./size_30000/random_tree_8_30000 14226.028001 1401704
&& ./size_30000/random_tree_8_30000 14226.028001 1403906
