2-level
homogeneous many small
&& size_4000/random_tree_4 36459.937301 72259
&& size_4000/random_tree_5 31290.648993 157807
&& size_4000/random_tree_6 36805.573232 196653
&& size_4000/random_tree_7 22116.092757 254872
&& size_4000/random_tree_8 27145.256567 200595
&& size_4000/random_tree_9 19351.745565 92177
&& size_50000/random_tree_1 50461.484453 13167819
&& size_50000/random_tree_2 47054.384082 40724755
&& size_50000/random_tree_3 61152.855231 14372977
&& size_50000/random_tree_4 71073.352653 10354509
&& size_50000/random_tree_5 26151.754867 1991565
&& size_50000/random_tree_5 26151.754867 1988411
/work/kulagins/tree-scheduler/real_Trees/random_trees/20_children
blabla
&& size_10000/random_tree_1 8650.175052 290885
&& size_10000/random_tree_2 4739.142335 146222
&& size_10000/random_tree_3 8312.221120 353615
&& size_15000/random_tree_1 5907.498489 367506
&& size_15000/random_tree_2 6332.616574 318270
&& size_15000/random_tree_3 4583.003652 302818
&& size_20000/random_tree_1 10847.896716 521278
&& size_20000/random_tree_2 12094.859017 654952
&& size_20000/random_tree_3 12295.758053 447642
&& size_25000/random_tree_1 5052.187122 973666
&& size_25000/random_tree_2 17927.031396 2112380
&& size_25000/random_tree_3 5225.437465 877168
&& size_5000/random_tree_1 5582.392243 54051
&& size_5000/random_tree_2 6672.672804 77732
&& size_5000/random_tree_3 3838.085817 46946
&& size_5000/random_tree_3 3838.085817 46908
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_small
blabla
&& size_10000/random_tree_1 548.756368 194613
&& size_10000/random_tree_10 437.009173 204188
&& size_10000/random_tree_2 582.903701 192017
&& size_10000/random_tree_3 451.318159 213354
&& size_10000/random_tree_4 721.833985 186309
&& size_10000/random_tree_5 951.960065 578498
&& size_10000/random_tree_6 411.676250 220175
&& size_10000/random_tree_7 833.913247 160383
&& size_10000/random_tree_8 377.791907 233857
&& size_10000/random_tree_9 774.904871 177121
&& size_2000/random_tree_1 365.289356 40715
&& size_2000/random_tree_10 471.618491 36990
&& size_2000/random_tree_2 405.625408 33757
&& size_2000/random_tree_3 518.059676 19372
&& size_2000/random_tree_4 216.332816 27849
&& size_2000/random_tree_5 468.064994 12605
&& size_2000/random_tree_6 411.132619 44814
&& size_2000/random_tree_7 578.157237 21953
&& size_2000/random_tree_8 551.843726 18099
&& size_2000/random_tree_9 289.033465 42805
&& size_20000/random_tree_1 723.227488 511834
&& size_20000/random_tree_2 795.785895 727097
&& size_20000/random_tree_3 788.645009 613509
&& size_20000/random_tree_4 1072.559057 715491
&& size_20000/random_tree_5 585.006359 520029
&& size_30000/random_tree_1 1004.618102 1157620
&& size_30000/random_tree_2 1403.200244 1348860
&& size_30000/random_tree_3 955.446226 1140105
&& size_30000/random_tree_4 1315.087037 1519074
&& size_30000/random_tree_5 1144.838929 1326830
&& size_4000/random_tree_1 388.316612 181256
&& size_4000/random_tree_10 596.024084 46297
&& size_4000/random_tree_2 461.171340 74634
&& size_4000/random_tree_3 650.310661 175111
&& size_4000/random_tree_4 681.699277 59018
&& size_4000/random_tree_5 640.941586 138778
&& size_4000/random_tree_6 615.008596 169667
&& size_4000/random_tree_7 456.804497 42532
&& size_4000/random_tree_8 276.462416 49041
&& size_4000/random_tree_9 524.856602 64699
&& size_50000/random_tree_1 1247.641865 3273096
&& size_50000/random_tree_2 1231.454235 2770228
&& size_50000/random_tree_3 1314.081489 3216703
&& size_50000/random_tree_4 1377.299855 3270315
&& size_50000/random_tree_5 867.206547 3388033
&& size_50000/random_tree_5 867.206547 3390898
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_node_weights
blabla
&& size_10000/random_tree_1 9501.659333 515830
&& size_10000/random_tree_10 9145.170261 168630
&& size_10000/random_tree_2 4867.454811 227660
&& size_10000/random_tree_3 6113.535952 204947
&& size_10000/random_tree_4 7315.672612 201976
&& size_10000/random_tree_5 9481.582969 331898
&& size_10000/random_tree_6 9497.909865 1271992
&& size_10000/random_tree_7 6569.871646 252315
&& size_10000/random_tree_8 5929.752462 176370
&& size_10000/random_tree_9 8721.106556 357941
&& size_2000/random_tree_1 5620.140335 46855
&& size_2000/random_tree_10 2442.924941 61265
&& size_2000/random_tree_2 3921.083731 117097
&& size_2000/random_tree_3 2018.824017 33976
&& size_2000/random_tree_4 2993.911446 37779
&& size_2000/random_tree_5 2600.433989 65774
&& size_2000/random_tree_6 4698.679381 29855
&& size_2000/random_tree_7 2060.926194 108279
&& size_2000/random_tree_8 3423.944706 39136
&& size_2000/random_tree_9 5804.890914 15756
&& size_20000/random_tree_1 11060.296200 794607
&& size_20000/random_tree_2 6608.737083 685964
&& size_20000/random_tree_3 10904.006843 736597
&& size_20000/random_tree_4 12402.172908 810648
&& size_20000/random_tree_5 9159.721351 569367
&& size_30000/random_tree_1 6424.497261 1564260
&& size_30000/random_tree_2 5262.682808 1992024
&& size_30000/random_tree_3 10150.928947 1698908
&& size_30000/random_tree_4 10926.733392 1622477
&& size_30000/random_tree_5 12808.115182 1246333
&& size_4000/random_tree_1 5940.017374 123776
&& size_4000/random_tree_10 4342.477913 107152
&& size_4000/random_tree_2 4496.114340 317325
&& size_4000/random_tree_3 4773.200890 98068
&& size_4000/random_tree_4 4347.968474 326212
&& size_4000/random_tree_5 5451.737515 124219
&& size_4000/random_tree_6 4561.594314 238864
&& size_4000/random_tree_7 3451.578881 81804
&& size_4000/random_tree_8 6715.504885 61236
&& size_4000/random_tree_9 4520.027349 81074
&& size_50000/random_tree_1 15104.031053 3135860
&& size_50000/random_tree_2 11318.281311 3205021
&& size_50000/random_tree_3 10392.250493 3885177
&& size_50000/random_tree_4 12896.866177 3939477
&& size_50000/random_tree_5 8791.367572 4274705
&& size_50000/random_tree_5 8791.367572 4279844
/work/kulagins/tree-scheduler/real_Trees/random_trees/3_children
blabla
&& size_10000/random_tree_1 5349.016500 331087
&& size_10000/random_tree_2 17445.893587 221939
&& size_10000/random_tree_3 14578.009711 412055
&& size_15/random_tree_1 2245.123210 53
&& size_15000/random_tree_1 17952.855099 486605
&& size_15000/random_tree_2 21305.060116 380760
&& size_15000/random_tree_3 29087.740542 616365
&& size_20/random_tree_1 4253.203671 68
&& size_20000/random_tree_1 20803.713227 716571
&& size_20000/random_tree_2 14539.073892 621636
&& size_20000/random_tree_3 15990.548402 847070
&& size_25000/random_tree_1 32455.755871 1912306
&& size_25000/random_tree_2 19302.914618 1255043
&& size_25000/random_tree_3 18294.746616 1167142
&& size_5000/random_tree_1 5412.573943 91009
&& size_5000/random_tree_2 6914.888733 90067
&& size_5000/random_tree_3 4297.346526 175745
&& size_5000/random_tree_3 4297.346526 175571
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_edge_weights
blabla
&& size_10000/random_tree_1 79461.669732 3946496
&& size_10000/random_tree_10 52727.001199 3706873
&& size_10000/random_tree_2 100956.662615 3889965
&& size_10000/random_tree_3 78449.846845 3888458
&& size_10000/random_tree_4 88617.438158 3911111
&& size_10000/random_tree_5 79227.544513 3736385
&& size_10000/random_tree_6 68979.397737 3836298
&& size_10000/random_tree_7 55955.420831 3776286
&& size_10000/random_tree_8 67498.194020 3718008
&& size_10000/random_tree_9 93151.943560 3865898
&& size_2000/random_tree_1 18031.567080 162042
&& size_2000/random_tree_10 16841.662930 148899
&& size_2000/random_tree_2 16172.684381 147150
&& size_2000/random_tree_3 16165.084921 156951
&& size_2000/random_tree_4 17725.206795 154065
&& size_2000/random_tree_5 22280.157139 162496
&& size_2000/random_tree_6 20038.022009 158771
&& size_2000/random_tree_7 16836.715470 149270
&& size_2000/random_tree_8 17031.161641 147426
&& size_2000/random_tree_9 23150.139244 160658
&& size_20000/random_tree_1 175685.775135 15454172
&& size_20000/random_tree_2 123923.793936 15583319
&& size_20000/random_tree_3 163002.724383 16014130
&& size_20000/random_tree_4 159809.700534 15540624
&& size_20000/random_tree_5 110119.337491 15275233
&& size_30000/random_tree_1 196896.243546 36641795
&& size_30000/random_tree_2 147966.880365 36426430
&& size_30000/random_tree_3 203795.508807 35976162
&& size_30000/random_tree_4 212565.150729 35931175
&& size_30000/random_tree_5 209095.939353 36637974
&& size_4000/random_tree_1 35820.957915 614714
&& size_4000/random_tree_10 56946.694880 650846
&& size_4000/random_tree_2 39253.977903 612350
&& size_4000/random_tree_3 30207.055307 573612
&& size_4000/random_tree_4 36055.733348 629008
&& size_4000/random_tree_5 34496.902552 589640
&& size_4000/random_tree_6 38608.740118 606059
&& size_4000/random_tree_7 26601.032626 610768
&& size_4000/random_tree_8 34701.959269 610503
&& size_4000/random_tree_9 35163.355124 590065
&& size_50000/random_tree_1 248557.173501 104187785
&& size_50000/random_tree_2 446410.833259 106029164
&& size_50000/random_tree_3 489191.979028 106748517
&& size_50000/random_tree_4 482700.613738 108375633
&& size_50000/random_tree_5 335246.777951 106489254
&& size_50000/random_tree_5 335246.777951 107607185
many small
/work/kulagins/tree-scheduler/real_Trees/random_trees/10_children
blabla
&& size_10000/random_tree_1 25020.796696 4274806
&& size_10000/random_tree_2 29338.564529 656477
&& size_10000/random_tree_3 7548.944858 540017
&& size_15000/random_tree_1 48731.526674 1091449
&& size_15000/random_tree_2 20423.706747 998235
&& size_15000/random_tree_3 34513.198461 873324
&& size_20000/random_tree_1 17754.788202 1702299
&& size_20000/random_tree_2 27858.409548 2317396
&& size_20000/random_tree_3 15202.703522 1213787
&& size_25000/random_tree_1 16380.851059 3424609
&& size_25000/random_tree_2 19511.489440 2345300
&& size_25000/random_tree_3 35781.673937 2478516
&& size_5000/random_tree_1 25222.427429 661746
&& size_5000/random_tree_2 15461.449385 375162
&& size_5000/random_tree_3 21621.738656 719478
&& size_5000/random_tree_3 21621.738656 719450
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_large
blabla
&& size_10000/random_tree_1 82745.545250 658592
&& size_10000/random_tree_10 130597.463272 825641
&& size_10000/random_tree_2 250605.646094 738565
&& size_10000/random_tree_3 205841.757697 769997
&& size_10000/random_tree_4 157259.791022 633913
&& size_10000/random_tree_5 148363.234747 873908
&& size_10000/random_tree_6 147552.997592 609747
&& size_10000/random_tree_7 212734.294073 660282
&& size_10000/random_tree_8 153742.393617 614744
&& size_10000/random_tree_9 159110.701777 578210
&& size_2000/random_tree_1 119683.874200 69611
&& size_2000/random_tree_10 62898.651275 27130
&& size_2000/random_tree_2 70128.747163 29950
&& size_2000/random_tree_3 97943.068849 29898
&& size_2000/random_tree_4 223237.580089 34292
&& size_2000/random_tree_5 47287.710782 32007
&& size_2000/random_tree_6 271821.337983 29635
&& size_2000/random_tree_7 222502.709343 112975
&& size_2000/random_tree_8 69036.439333 34396
&& size_2000/random_tree_9 209000.484611 36649
&& size_20000/random_tree_1 219260.147873 2207134
&& size_20000/random_tree_2 213476.003498 2683868
&& size_20000/random_tree_3 277652.376251 3042947
&& size_20000/random_tree_4 142588.354251 2714052
&& size_20000/random_tree_5 199311.943849 3051006
&& size_30000/random_tree_1 332049.627876 5202011
&& size_30000/random_tree_2 226223.886131 6056306
&& size_30000/random_tree_3 269749.428166 6459599
&& size_30000/random_tree_4 220765.062281 5159926
&& size_30000/random_tree_5 283922.413966 7303687
&& size_4000/random_tree_1 239333.985395 145693
&& size_4000/random_tree_10 208422.019513 104280
&& size_4000/random_tree_2 145574.579024 122017
&& size_4000/random_tree_3 100958.618402 115396
&& size_4000/random_tree_4 170101.112999 130292
&& size_4000/random_tree_5 74859.137129 153056
&& size_4000/random_tree_6 248115.021441 152531
&& size_4000/random_tree_7 102573.730156 96378
&& size_4000/random_tree_8 120411.571945 104986
&& size_4000/random_tree_9 143531.849554 163019
&& size_50000/random_tree_1 289081.103531 16837742
&& size_50000/random_tree_2 304520.909934 17717633
&& size_50000/random_tree_3 198906.258857 15719920
&& size_50000/random_tree_4 356463.089381 16516328
&& size_50000/random_tree_5 332590.285725 16817058
&& size_50000/random_tree_5 332590.285725 16801965
/work/kulagins/tree-scheduler/real_Trees/random_trees/large_makespan_weights
blabla
&& size_10000/random_tree_1 88315.017024 1183945
&& size_10000/random_tree_10 280137.389895 1551833
&& size_10000/random_tree_2 236109.663607 1609787
&& size_10000/random_tree_3 262250.106706 4283668
&& size_10000/random_tree_4 139999.324297 1237035
&& size_10000/random_tree_5 78452.538200 2228087
&& size_10000/random_tree_6 56355.498352 4348346
&& size_10000/random_tree_7 476837.924897 1454268
&& size_10000/random_tree_8 200268.624191 5545142
&& size_10000/random_tree_9 223503.252303 2285154
&& size_2000/random_tree_1 324709.327374 155902
&& size_2000/random_tree_10 71482.533678 70017
&& size_2000/random_tree_2 91885.950269 92245
&& size_2000/random_tree_3 181788.568540 161959
&& size_2000/random_tree_4 156492.183164 320247
&& size_2000/random_tree_5 250254.782819 119413
&& size_2000/random_tree_6 163074.684892 138957
&& size_2000/random_tree_7 281172.942624 130709
&& size_2000/random_tree_8 180878.563456 101465
&& size_2000/random_tree_9 63125.884641 79993
&& size_20000/random_tree_1 153137.542465 13176441
&& size_20000/random_tree_2 172432.796149 11586635
&& size_20000/random_tree_3 82088.536483 58941052
&& size_20000/random_tree_4 86473.723862 5109633
&& size_20000/random_tree_5 101396.163428 14258197
&& size_30000/random_tree_1 225993.502579 30845712
&& size_30000/random_tree_2 297327.990473 50832623
&& size_30000/random_tree_3 80742.083497 8335374
&& size_30000/random_tree_4 94764.023924 33793499
&& size_30000/random_tree_5 222557.039516 57883514
&& size_4000/random_tree_1 98117.186394 131386
&& size_4000/random_tree_10 165513.209977 357001
&& size_4000/random_tree_2 258198.215367 502917
&& size_4000/random_tree_3 127211.039531 385960
&& size_4000/random_tree_4 205335.735866 403437
&& size_4000/random_tree_5 178161.917002 775536
&& size_4000/random_tree_6 176744.876108 880576
&& size_4000/random_tree_7 101836.059850 648021
&& size_4000/random_tree_8 102163.610176 330064
&& size_4000/random_tree_9 69676.569200 258953
&& size_50000/random_tree_1 329382.124994 111961524
&& size_50000/random_tree_2 124266.595297 206727819
&& size_50000/random_tree_3 232267.173514 67983044
&& size_50000/random_tree_4 245726.920045 23994397
&& size_50000/random_tree_5 26151.754867 1976182
&& size_50000/random_tree_5 26151.754867 2017330
/work/kulagins/tree-scheduler/real_Trees/random_trees/20_children
blabla
&& size_10000/random_tree_1 16719.824303 1471835
&& size_10000/random_tree_2 13045.230508 557654
&& size_10000/random_tree_3 19428.026747 1869221
&& size_15000/random_tree_1 10645.359659 1218170
&& size_15000/random_tree_2 16328.576044 1260324
&& size_15000/random_tree_3 7360.176580 1079608
&& size_20000/random_tree_1 36163.098818 1748590
&& size_20000/random_tree_2 40624.228219 2247758
&& size_20000/random_tree_3 34570.676562 1944764
&& size_25000/random_tree_1 7454.786646 2545624
&& size_25000/random_tree_2 26625.912631 2685429
&& size_25000/random_tree_3 12517.508575 2123719
&& size_5000/random_tree_1 17430.361349 234361
&& size_5000/random_tree_2 22218.583059 589436
&& size_5000/random_tree_3 9593.207458 231436
&& size_5000/random_tree_3 9593.207458 232845
/work/kulagins/tree-scheduler/real_Trees/random_trees/all_small
blabla
&& size_10000/random_tree_1 1577.014588 323552
&& size_10000/random_tree_10 437.009173 203446
&& size_10000/random_tree_2 1169.639568 366974
&& size_10000/random_tree_3 885.715587 390861
&& size_10000/random_tree_4 2172.455398 301779
&& size_10000/random_tree_5 2242.704168 2012077
&& size_10000/random_tree_6 1029.901227 381004
&& size_10000/random_tree_7 833.913247 160422
&& size_10000/random_tree_8 942.984496 315742
&& size_10000/random_tree_9 1626.557476 332835
&& size_2000/random_tree_1 1151.583305 72245
&& size_2000/random_tree_10 1216.059533 99876
&& size_2000/random_tree_2 1603.766352 65276
&& size_2000/random_tree_3 2541.326486 54049
&& size_2000/random_tree_4 322.623369 51169
&& size_2000/random_tree_5 1144.016026 36601
&& size_2000/random_tree_6 995.750841 70975
&& size_2000/random_tree_7 1945.453033 69700
&& size_2000/random_tree_8 2246.392457 128300
&& size_2000/random_tree_9 1237.227114 116272
&& size_20000/random_tree_1 1264.999521 719640
&& size_20000/random_tree_2 1308.412112 1287208
&& size_20000/random_tree_3 788.645009 613635
&& size_20000/random_tree_4 2193.262082 1086752
&& size_20000/random_tree_5 904.497338 633102
&& size_30000/random_tree_1 2354.065611 1704472
&& size_30000/random_tree_2 1403.200244 1361672
&& size_30000/random_tree_3 1442.358105 1761021
&& size_30000/random_tree_4 2565.055623 2518000
&& size_30000/random_tree_5 3236.915599 2037081
&& size_4000/random_tree_1 1457.895384 505938
&& size_4000/random_tree_10 972.195693 109482
&& size_4000/random_tree_2 1239.874297 351003
&& size_4000/random_tree_3 1439.326063 268822
&& size_4000/random_tree_4 3098.577710 218771
&& size_4000/random_tree_5 2299.358049 415101
&& size_4000/random_tree_6 1803.094346 328955
&& size_4000/random_tree_7 456.804497 43004
&& size_4000/random_tree_8 614.177039 83472
&& size_4000/random_tree_9 524.856602 65888
&& size_50000/random_tree_1 2119.699474 5398251
&& size_50000/random_tree_2 2253.329307 4634668
&& size_50000/random_tree_3 2562.811626 5216793
&& size_50000/random_tree_4 2896.705845 5536976
&& size_50000/random_tree_5 995.524630 4857666
&& size_50000/random_tree_5 995.524630 4860577
